I1N,I2N,I3N,I4N,I5N,I1S,I2S,I3S,I4S,I5S
0.61133, 0.83711, 0.83448, 0.80852, 0.0, 0.87018, 0.97964, 1.3003, 1.8007, 2.8827
1.7124, 1.2957, 1.0166, 0.9083, 0.0, 0.95062, 1.0824, 1.5091, 2.1415, 2.2915
2.0683, 1.6401, 1.201, 1.0289, 0.0, 1.0515, 1.2035, 1.7401, 2.3913, 2.821
2.1045, 1.7514, 1.2892, 1.1203, 0.0, 1.1314, 1.3024, 1.8004, 2.5476, 3.0063
2.1444, 1.7127, 1.2609, 1.1224, 0.0, 1.1649, 1.365, 1.8134, 2.55, 3.1242
1.9342, 1.5091, 1.1715, 1.0499, 4.4708e-06, 1.0838, 1.2982, 1.7246, 2.4117, 2.8656
0.88143, 1.1037, 1.0322, 1.0219, 0.0, 1.0652, 1.2082, 1.5571, 1.8185, 1.4717
