I1N,I2N,I3N,I4N,I5N,I1S,I2S,I3S,I4S,I5S
1.1123, 1.5232, 1.4403, 1.3655, 0.0, 1.418, 1.5635, 2.0709, 2.9661, 5.2725
3.6661, 2.6557, 1.9067, 1.4709, 0.0, 1.3725, 1.493, 2.0427, 2.7661, 3.226
4.2379, 3.2295, 2.1936, 1.5936, 0.0, 1.4401, 1.2464, 2.0769, 2.8247, 3.244
4.0814, 3.4541, 2.3056, 1.6174, 4.4708e-06, 1.4314, 1.4129, 2.0415, 2.8172, 3.3988
4.2806, 3.2816, 2.1395, 1.5477, 0.0, 1.3504, 1.3805, 1.9122, 2.7244, 3.5442
4.0434, 2.8065, 1.8219, 1.3719, 0.0, 1.1813, 1.2138, 1.5624, 2.2073, 3.2879
1.1949, 1.6524, 1.3481, 1.1136, 0.0, 0.99418, 0.97795, 1.1315, 1.2086, 0.90792
