I1N,I2N,I3N,I4N,I5N,I1S,I2S,I3S,I4S,I5S
0.83503, 1.1699, 1.0752, 1.0305, 0.0, 1.0834, 1.2079, 1.6506, 2.4467, 4.4731
2.5046, 1.8218, 1.363, 1.115, 0.0, 1.1069, 1.0611, 1.8136, 2.5973, 3.1896
3.086, 2.3412, 1.6355, 1.3116, 0.0, 1.2147, 1.104, 1.9945, 2.7994, 3.2742
3.1718, 2.4837, 1.6942, 1.3028, 0.0, 1.2113, 1.2204, 1.893, 2.7073, 3.3304
3.2606, 2.4007, 1.5706, 1.228, 0.0, 1.125, 1.1707, 1.7474, 2.4977, 3.1286
2.8545, 1.8227, 1.2842, 1.1035, 4.4708e-06, 0.99482, 1.1349, 1.5025, 2.1529, 2.9843
1.0538, 1.2756, 1.1295, 1.0537, 0.0,0.99732, 1.0261, 1.2833, 1.4414, 1.0644
