I1N,I2N,I3N,I4N,I5N,I1S,I2S,I3S,I4S,I5S
0.85466, 1.2042, 0.9031, 0.7375, 0.0, 0.61582, 0.56747, 0.63311, 0.68335, 0.54283
3.1967, 2.0537, 1.2334, 0.8638, 0.0, 0.6878, 0.5402, 0.76514, 1.0792, 1.8285
3.6145, 2.4507, 1.4563, 0.99276, 0.0, 0.7791, 0.60916, 0.96558, 1.4337, 2.0555
3.5858, 2.6352, 1.5748, 1.0706, 0.0, 0.8564, 0.73838, 1.0889, 1.5717, 2.1921
3.809, 2.6379, 1.5967, 1.1056, 0.0, 0.92166, 0.85524, 1.2276, 1.749, 2.3391
3.5356, 2.266, 1.4452, 1.0354, 0.0, 0.9072, 0.8593, 1.299, 1.764, 2.4672
0.92107, 1.2646, 1.1126, 0.97992, 0.0, 0.94948, 0.93805, 1.3193, 1.9455, 3.4145
