I1N,I2N,I3N,I4N,I5N,I1S,I2S,I3S,I4S,I5S
0.036664, 0.042022, 0.034294, 0.02696, 0.0, 0.022376, 0.02005, 0.021953, 0.022664, 0.018027
0.085697, 0.049587, 0.030088, 0.021712, 0.0, 0.017711, 0.016107, 0.018789, 0.024042, 0.031209
0.073862, 0.050725, 0.028983, 0.01955, 0.0, 0.014237, 0.012813, 0.01539, 0.020954, 0.024779
0.066909, 0.049443, 0.029561, 0.018747, 0.0, 0.013209, 0.010134, 0.013684, 0.017105, 0.019309
0.078517, 0.055557, 0.03177, 0.018733, 4.4708e-06, 0.013791, 0.010835, 0.012361, 0.014566, 0.016176
0.080286, 0.050171, 0.028466, 0.016604, 4.4708e-06, 0.012391, 0.010225, 0.010461, 0.011235, 0.012024
0.0089827, 0.02082, 0.016914, 0.011584, 0.0, 0.0097809, 0.0083826, 0.0081789, 0.0086696, 0.011106
