I1N,I2N,I3N,I4N,I5N,I1S,I2S,I3S,I4S,I5S
1.1133, 1.406, 1.243, 1.1653, 0.0, 1.1643, 0.97055, 1.6035, 1.828, 1.3617
2.8753, 2.0864, 1.5016, 1.2969, 0.0, 1.2677, 1.0661, 1.9099, 2.7005, 3.2186
3.195, 2.4199, 1.6915, 1.4296, 0.0, 1.3581, 1.5196, 2.0764, 2.9057, 3.4241
3.2276, 2.6181, 1.8184, 1.4834, 0.0, 1.3738, 1.5077, 2.1234, 2.9195, 3.2265
3.4299, 2.6519, 1.8103, 1.4061, 0.0, 1.3031, 1.3941, 2.0299, 2.8065, 3.1939
3.3794, 2.3556, 1.6143, 1.2423, 0.0, 1.1943, 1.3553, 1.8923, 2.665, 3.0904
0.84728, 1.3905, 1.2441, 1.1186, 0.0, 1.1636, 1.2674, 1.6773, 2.4183, 4.211
