I1N,I2N,I3N,I4N,I5N,I1S,I2S,I3S,I4S,I5S
0.8056, 1.2068, 1.0069, 0.81795, 0.0, 0.76942, 0.74694, 1.0145, 1.4197, 2.3995
3.1801, 2.1093, 1.2983, 0.861, 0.0, 0.75619, 0.75588, 1.0146, 1.3917, 1.6996
4.0162, 2.743, 1.5243, 0.99015, 0.0, 0.79525, 0.63121, 1.0345, 1.4114, 1.7314
4.3042, 3.0767, 1.6402, 1.0115, 0.0, 0.78415, 0.58942, 0.99552, 1.3762, 1.6887
4.1669, 2.7856, 1.4823, 0.94995, 0.0, 0.72376, 0.6383, 0.86169, 1.26, 1.5933
3.4315, 2.0792, 1.21, 0.82131, 0.0, 0.61854, 0.55923, 0.66687, 0.9176, 1.3694
0.93625, 1.2064, 0.89069, 0.69118, 4.4708e-06, 0.54811, 0.48382, 0.5316, 0.56604, 0.45758
