I1N,I2N,I3N,I4N,I5N,I1S,I2S,I3S,I4S,I5S
1.3813, 1.8519, 1.474, 1.2196, 0.0, 1.1307, 1.145, 1.382, 1.5368, 1.148
4.8768, 3.1424, 1.9145, 1.4509, 0.0, 1.2735, 1.3829, 1.877, 2.6763, 3.692
5.3144, 3.714, 2.2067, 1.5957, 0.0, 1.4519, 1.5701, 2.1981, 3.1021, 3.8462
5.0879, 3.7355, 2.2392, 1.5955, 0.0, 1.4856, 1.6209, 2.2413, 3.1347, 3.7919
4.9025, 3.3143, 2.0514, 1.5087, 0.0, 1.3971, 1.537, 2.2026, 3.0512, 3.6751
3.9261, 2.624, 1.7333, 1.3305, 0.0, 1.3098, 1.4169, 2.0889, 2.913, 3.6138
1.1542, 1.5691, 1.3318, 1.2508, 0.0, 1.3266, 1.4664, 2.013, 2.9868, 5.5102
