I1N,I2N,I3N,I4N,I5N,I1S,I2S,I3S,I4S,I5S
0.7881, 0.99261, 0.94041, 0.92193, 8.9417e-06, 0.96804, 1.1265, 1.4684, 1.7013, 1.4441
1.7106, 1.3227, 1.029, 0.92669, 0.0, 0.8047, 1.128, 1.4608, 1.9933, 2.5374
1.8676, 1.5076, 1.1035, 0.92137, 0.0, 0.97408, 1.1489, 1.5211, 2.1534, 2.6151
1.8152, 1.5778, 1.1434, 0.96652, 4.4708e-06, 0.96108, 1.0932, 1.5155, 2.1611, 2.6131
1.8533, 1.4826, 1.0708, 0.8927, 0.0, 0.89551, 1.0206, 1.439, 1.9614, 2.5956
1.5745, 1.1956, 0.92025, 0.79773, 0.0, 0.81589, 0.91081, 1.2213, 1.7291, 1.9546
0.54308, 0.75225, 0.74909, 0.71639, 0.0, 0.77046, 0.84609, 1.0864, 1.4718, 2.2653
