I1N,I2N,I3N,I4N,I5N,I1S,I2S,I3S,I4S,I5S
1.6447, 2.364, 1.6718, 1.2346, 59.896, 0.91174, 0.85703, 0.85989, 0.83928, 0.6521
8.6492, 4.5182, 2.3883, 1.52, 59.632, 1.0984, 0.95594, 1.0268, 1.2132, 1.4003
10.326, 5.8167, 2.9532, 1.7425, 59.149, 1.24, 1.0349, 1.1407, 1.3339, 1.4461
10.432, 6.2003, 3.173, 1.8779, 59.149, 1.2964, 1.0469, 1.1471, 1.327, 1.393
9.9888, 3.3339, 2.2975, 1.6809, 58.966, 1.2511, 1.0048, 1.0823, 1.2437, 1.3104
8.9146, 4.5487, 2.4414, 1.5418, 58.818, 1.1235, 0.93621, 1.0289, 1.1929, 1.1915
1.1024, 2.2672, 1.7468, 1.312, 58.3, 1.0452, 0.90191, 0.99183, 1.1808, 1.7128
