I1N,I2N,I3N,I4N,I5N,I1S,I2S,I3S,I4S,I5S
1.231, 1.0492, 1.0803, 1.2228, 1.6951, 1.231, 1.0492, 1.0803, 1.2228, 1.6951
7.2284, 3.9228, 2.2103, 1.3845, 49.429, 0.94516, 0.80101, 0.86034, 1.0674, 1.4865
9.1587, 5.3812, 2.7704, 1.6336, 50.476, 1.0935, 0.89756, 1.0039, 1.2723, 1.5942
9.372, 5.9988, 3.1321, 1.7657, 51.745, 1.1829, 0.9528, 1.0697, 1.3477, 1.6094
9.1341, 5.7433, 2.9423, 1.6747, 52.698, 1.143, 0.93031, 1.0317, 1.2879, 1.5408
8.6828, 4.6717, 2.4871, 1.4922, 53.61, 1.0824, 0.90114, 1.0381, 1.3085, 1.3308
1.7887, 2.5686, 1.7816, 1.2227, 53.547, 0.99309, 0.88034, 1.0102, 1.2915, 2.077
