I1N,I2N,I3N,I4N,I5N,I1S,I2S,I3S,I4S,I5S
1.1498, 1.7877, 1.5439, 1.2327, 40.743, 1.0558, 0.94588, 1.0668, 1.289, 1.8229
6.3923, 3.7049, 2.3086, 1.5673, 40.453, 1.175, 0.9957, 1.0961, 1.3265, 1.2727
8.5844, 5.3079, 2.9097, 1.8169, 40.201, 1.3182, 1.1123, 1.2091, 1.4046, 1.4341
8.8105, 5.8326, 3.2786, 2.0011, 40.354, 1.3762, 1.144, 1.2466, 1.4485, 1.4996
9.7376, 5.8833, 3.2751, 1.9917, 41.521, 1.3607, 1.1498, 1.2462, 1.4389, 1.4881
8.6171, 4.9598, 2.8791, 1.8553, 43.125, 1.2871, 1.0849, 1.1298, 1.2642, 1.3829
2.4786, 2.7943, 2.0571, 1.4808, 41.851, 1.0661, 0.94999, 0.96104, 0.95451, 0.76747
