I1N,I2N,I3N,I4N,I5N,I1S,I2S,I3S,I4S,I5S
1.2141, 2.0356, 1.6548, 1.2524, 65.86, 1.0862, 1.0158, 1.2226, 1.6149, 2.6505
8.9605, 4.5953, 2.5319, 1.5629, 64.13,1.1893, 1.0706, 1.2791, 1.6388, 1.8023
9.9472, 5.9832, 3.1505, 1.8293, 62.703,1.3163, 1.152, 1.3547, 1.6989, 1.9924
9.9216, 6.3054, 3.3983, 1.9845, 61.604, 1.3839, 1.1764, 1.387, 1.7584, 2.0324
9.7864, 5.916, 3.1503, 1.9195, 60.955, 1.3389, 1.1554, 1.345, 1.7116, 2.0825
8.3891, 4.8043, 2.6604, 1.6989, 60.137, 1.2248, 1.0608, 1.1879, 1.5086, 2.0162
1.7937, 2.4879, 1.8638, 1.4354, 60.459, 1.0305, 0.93858, 0.98575, 1.0065, 0.79159
