I1N,I2N,I3N,I4N,I5N,I1S,I2S,I3S,I4S,I5S
1.2785, 1.8984, 1.5139, 1.0919, 42.392, 0.75855, 0.70394, 0.74938, 0.77896, 0.63792
6.2463, 3.7709, 2.1854, 1.3968, 42.836, 0.94962, 0.81325, 0.90139, 1.1469, 1.5316
7.5168, 4.8429, 2.7087, 1.6469, 43.739, 1.1056, 0.91173, 1.0442, 1.342, 1.6792
7.8503, 5.1977, 2.889, 1.7595, 45.124, 1.2083, 0.97563, 1.1089, 1.4077, 1.7037
8.0655, 5.0547, 2.711, 1.6618, 47.145, 1.1967, 1.0035, 1.1342, 1.408, 1.7051
7.2822, 3.9968, 2.2159, 1.4534, 48.736, 1.1121, 0.95773, 1.1155, 1.4095, 1.5829
1.0227, 1.7379, 1.436, 1.1571, 49.751, 1.0235, 0.92905, 1.0918, 1.4216, 2.3538
