I1N,I2N,I3N,I4N,I5N,I1S,I2S,I3S,I4S,I5S
0.88441, 1.7245, 1.2325, 0.83929, 28.087, 0.65852, 0.55426, 0.65197, 0.86642, 1.4068
5.0337, 3.0726, 1.6578, 0.98002, 27.733, 0.71222, 0.57788, 0.68098, 0.8594, 0.911
5.5483, 3.7286, 1.9559, 1.1157, 27.596, 0.76705, 0.6219, 0.72391, 0.8959, 0.98357
5.7753, 3.9169, 2.0388, 1.1855, 27.428, 0.78361, 0.62627, 0.7217, 0.91026, 1.0279
5.8743, 3.5469, 1.8013, 1.08, 26.975, 0.72899, 0.61216, 0.70676, 0.89082, 1.0103
4.7271, 2.5232, 1.3824, 0.9181, 26.79, 0.64611, 0.5735, 0.64968, 0.78994, 0.97071
0.75835, 1.1571, 0.92805, 0.72993, 26.402, 0.54759, 0.51332, 0.55922, 0.5587, 0.45274
