I1N,I2N,I3N,I4N,I5N,I1S,I2S,I3S,I4S,I5S
0.057732, 0.08483, 0.071224, 0.059042, 3.1814, 0.054252, 0.054015, 0.067345, 0.087299, 0.13526
0.28165, 0.14783, 0.084881, 0.060751, 2.7228, 0.051992, 0.051906, 0.066048, 0.081294, 0.07401
0.27802, 0.16559, 0.089012, 0.060144, 2.4295, 0.051528, 0.051988, 0.065071, 0.083225, 0.10309
0.29638, 0.18183, 0.096955, 0.064117, 2.446, 0.051642, 0.050818, 0.064792, 0.083423, 0.09105
0.31884, 0.185, 0.095437, 0.064668, 2.5273, 0.051787, 0.051548, 0.061061, 0.079467, 0.082231
0.27359, 0.15258, 0.082809, 0.059448, 2.5557, 0.049004, 0.049033, 0.055893, 0.067147, 0.077289
0.068735, 0.095081, 0.066073, 0.05349, 2.5717, 0.043893, 0.044273, 0.048097, 0.048358, 0.035673
