I1N,I2N,I3N,I4N,I5N,I1S,I2S,I3S,I4S,I5S
1.259, 2.5866, 1.8734, 1.4732, 45.585, 1.231, 1.0492, 1.0803, 1.2228, 1.6951
9.1364, 4.9673, 2.6257, 1.6401, 46.097, 1.2626, 1.0354, 1.0742, 1.2023, 1.187
9.2533, 5.944, 3.0823, 1.8785, 46.512, 1.353, 1.079, 1.106, 1.2367, 1.252
9.4765, 6.1316, 3.1945, 1.9508, 46.521, 1.3742, 1.0861, 1.1233, 1.2556, 1.2786
9.399, 5.7138, 2.902, 1.8086, 45.982, 1.2667, 1.0257, 1.0513, 1.1992, 1.2344
7.9823, 4.3035, 2.2816, 1.523, 44.863, 1.0911, 0.92354, 0.94461, 1.0273, 1.1534
1.2604, 2.1432, 1.5616, 1.2297, 44.344, 0.90338, 0.8222, 0.81227, 0.76712, 0.59979
