I1N,I2N,I3N,I4N,I5N,I1S,I2S,I3S,I4S,I5S
0.31371, 0.30531, 0.3207, 0.31423, 0.23697, 0.31405, 0.30564, 0.32106, 0.3145, 0.2372
1.9998, 1.1887, 0.71603, 0.48336, 12.582, 0.36146, 0.31911, 0.33863, 0.39039, 0.45542
2.3646, 1.5529, 0.83302, 0.50438, 12.697, 0.36041, 0.3096, 0.32808, 0.39815, 0.44277
2.3138, 1.5882, 0.86028, 0.47989, 12.572, 0.33312, 0.28313, 0.31702, 0.3814, 0.40461
2.2224, 1.4495, 0.73593, 0.40248, 12.439, 0.29, 0.25304, 0.28566, 0.34196, 0.37693
2.0182, 1.1283, 0.54396, 0.30895, 12.217, 0.23566, 0.21109, 0.25027, 0.31579, 0.33202
0.25976, 0.59322, 0.36877, 0.2474, 12.038, 0.20504, 0.18998, 0.22668, 0.29719, 0.47572
